lmp,regmcp
16.11,18.67
32.97,2.31
33.73,0.00
32.57,0.00
27.72,0.00
28.32,0.00
32.34,26.57
47.76,50.32
37.18,36.40
31.90,40.34
17.59,17.13
22.30,21.64
27.32,13.75
20.10,18.96
11.42,16.56
24.38,12.31
23.47,21.30
25.37,12.45
26.98,11.09
29.12,9.72
37.57,16.29
41.24,1.23
39.89,11.79
29.38,21.85
25.09,10.85
28.85,5.69
28.90,0.00
28.43,0.00
29.69,0.00
32.47,0.00
39.35,12.29
54.97,47.48
58.58,70.66
34.86,7.80
27.44,10.23
26.70,12.43
25.36,12.89
24.24,2.16
24.49,0.00
24.55,0.00
47.74,9.43
36.73,0.94
28.42,0.00
25.32,0.00
24.61,0.00
26.97,1.67
34.89,0.00
25.26,11.33
24.22,9.84
23.92,0.89
23.40,0.00
23.12,0.00
23.07,0.00
23.70,0.00
29.43,13.53
32.46,23.73
53.19,24.87
26.95,1.97
42.13,126.90
25.01,35.82
22.45,7.32
20.41,0.53
19.65,0.00
19.41,0.00
19.66,0.00
23.24,5.80
38.48,1.06
36.68,30.90
37.14,6.87
44.34,1.67
38.23,0.00
21.78,10.21
20.44,10.52
21.02,1.74
22.96,0.00
22.90,0.00
22.53,0.00
25.13,0.00
24.86,0.00
30.76,8.35
32.96,14.51
45.36,1.24
53.77,0.00
38.88,0.00
35.49,1.67
34.18,0.00
33.24,5.54
32.64,1.39
30.25,0.00
35.07,0.00
36.94,0.00
44.53,0.00
37.25,0.00
30.29,66.68
29.28,11.94
27.82,6.68
26.73,11.97
27.00,21.00
28.96,1.93
30.03,0.00
28.16,0.00
32.01,0.00
27.66,0.00
27.12,10.02
25.61,66.60
25.25,17.11
25.04,2.03
22.75,25.52
23.37,14.44
22.51,5.49
23.27,0.46
23.30,10.11
38.85,2.02
53.86,97.31
48.37,24.33
50.16,64.48
32.35,6.45
34.22,0.00
43.55,0.00
27.29,5.78
26.53,35.15
25.66,2.29
26.23,0.00
26.31,0.00
26.84,0.00
43.21,0.00
24.30,7.39
24.14,15.10
37.22,29.33
21.46,26.77
21.16,15.20
23.77,6.18
24.14,11.10
24.22,12.84
23.64,13.13
25.25,40.58
27.48,15.59
33.78,31.17
37.66,15.18
47.06,73.16
39.64,7.00
44.87,0.00
53.20,0.00
55.76,54.49
48.08,49.06
35.61,4.09
31.26,0.00
34.73,0.00
38.47,0.00
38.39,0.00
53.07,13.38
69.06,17.33
104.41,133.79
36.01,15.06
27.56,0.00
29.63,13.47
27.94,14.10
25.34,1.17
24.32,5.78
25.14,31.35
28.89,27.84
35.15,7.49
45.89,12.72
47.76,29.75
44.53,16.99
38.39,0.00
35.37,0.00
46.10,14.59
29.59,27.57
29.06,15.86
34.42,1.10
54.20,0.00
28.43,0.00
56.42,0.00
50.23,12.80
82.41,45.93
58.18,71.86
25.46,14.79
25.58,12.05
27.53,8.75
27.47,17.68
26.38,1.03
25.74,3.01
26.23,0.67
28.32,10.08
38.02,1.01
69.35,0.00
64.65,0.00
38.13,0.00
41.26,1.67
29.22,0.00
32.19,5.53
34.73,39.49
32.86,10.41
35.08,0.00
34.25,0.00
34.75,0.00
34.17,0.00
36.92,5.52
43.08,6.24
37.50,8.22
33.20,4.19
31.50,6.70
26.05,13.59
28.97,9.71
26.59,0.70
24.39,9.96
25.64,6.14
44.92,67.59
73.48,18.43
56.01,0.00
38.35,0.00
44.06,0.00
31.85,3.33
24.98,117.20
23.35,25.34
22.43,29.87
24.19,2.28
23.89,0.00
23.96,0.00
24.27,0.00
24.13,0.00
22.74,9.68
22.77,9.83
34.60,10.10
30.58,2.86
24.50,5.29
30.93,16.26
29.40,9.10
23.41,1.12
22.66,3.36
23.68,0.44
23.29,4.56
26.68,0.91
39.80,0.00
36.99,0.00
34.54,0.00
27.82,1.67
37.40,61.99
31.24,82.50
21.69,21.35
21.10,12.22
22.73,0.97
21.83,0.00
20.55,0.00
20.71,100.41
20.39,10.04
19.69,7.41
19.35,21.88
19.26,110.22
20.54,9.85
26.61,10.99
10.23,30.64
20.47,67.41
5.74,9.70
14.56,92.01
22.58,8.33
23.21,0.00
36.98,10.44
29.97,7.54
27.50,0.56
25.27,7.56
27.96,11.88
24.85,12.94
23.29,9.17
24.19,18.33
23.69,96.76
21.88,17.32
24.35,0.00
22.14,0.00
24.49,0.00
25.03,17.55
23.90,12.48
5.19,9.87
14.25,0.80
21.58,0.00
16.27,105.60
20.47,22.21
15.30,1.15
21.02,68.84
-3.26,7.65
32.89,0.00
61.91,0.00
78.92,0.00
61.08,0.00
35.15,7.54
26.76,1.37
22.73,19.25
21.69,32.98
23.92,25.60
22.70,87.08
22.89,22.00
23.17,1.29
22.49,10.67
24.76,57.61
32.24,12.11
46.94,21.26
32.21,136.89
28.80,27.61
23.25,12.12
18.99,5.73
17.95,1.82
16.59,9.93
16.50,1.99
18.81,9.17
19.74,1.60
30.76,0.00
36.25,0.00
25.98,0.00
34.14,20.04
28.73,8.11
31.96,23.18
21.92,12.59
3.19,17.70
5.76,9.69
17.64,10.61
17.49,49.06
17.36,4.37
17.36,9.01
19.63,10.23
20.15,12.47
17.65,12.63
14.09,11.85
15.57,6.01
15.77,4.43
15.62,0.66
15.33,9.78
15.21,0.98
15.92,10.65
16.43,1.55
21.35,10.94
19.55,97.56
32.15,19.11
23.40,3.33
16.93,9.52
16.00,11.51
15.49,11.67
15.54,1.17
12.61,0.00
6.12,0.00
5.23,0.00
12.32,0.00
12.50,34.33
14.49,42.24
35.59,130.39
18.82,47.13
53.65,33.19
24.97,18.48
36.13,18.17
18.78,12.85
35.89,19.46
20.73,12.30
50.63,54.49
43.84,16.49
38.73,16.15
23.51,24.12
23.24,20.06
42.15,139.70
37.93,47.54
25.59,15.53
-8.91,24.28
19.25,60.15
14.08,11.77
16.74,7.69
17.20,6.66
18.15,6.60
25.05,14.68
34.07,13.23
30.79,30.47
14.89,5.56
14.42,7.77
19.71,7.16
19.19,7.10
11.29,4.43
8.61,30.13
14.88,17.54
13.66,17.43
21.33,5.41
24.50,8.66
33.05,12.92
51.28,6.39
52.18,5.86
38.10,9.36
33.02,12.59
21.80,21.75
35.93,30.94
64.56,2.65
30.53,0.00
40.82,0.00
23.49,6.11
45.91,17.90
66.70,29.00
45.76,48.05
51.47,25.34
23.28,8.15
23.10,0.00
19.46,0.00
17.21,0.00
16.90,3.08
16.96,0.68
18.53,0.00
46.17,0.00
40.57,11.44
31.19,8.18
36.93,0.00
28.57,0.00
28.76,0.00
25.92,8.10
20.53,12.56
19.42,1.07
19.77,0.00
19.72,0.00
19.45,0.00
19.94,0.00
19.80,0.00
18.67,6.18
19.51,7.41
19.46,10.86
18.42,0.96
18.93,0.00
21.91,0.00
56.53,0.00
33.26,99.66
34.41,9.97
28.20,0.00
29.96,0.00
32.20,0.00
37.86,0.00
28.31,0.00
26.73,0.00
21.32,0.00
17.91,10.35
17.44,12.37
18.66,12.51
17.81,1.04
17.13,0.00
17.23,0.00
17.67,0.00
17.58,0.00
18.47,9.29
18.48,14.67
17.75,0.65
17.37,0.00
15.83,0.00
-23.13,0.00
16.40,0.00
15.26,0.00
14.74,0.00
15.51,0.00
17.24,0.00
19.02,0.00
18.04,0.00
21.92,0.00
31.65,0.00
18.84,4.75
17.23,8.00
15.90,7.82
16.10,0.62
15.97,0.00
15.37,0.00
15.02,0.00
14.31,0.00
11.40,6.57
15.21,9.02
16.09,9.22
15.38,10.94
15.03,11.67
15.91,1.95
15.66,0.00
15.17,0.00
14.93,3.62
14.95,5.26
16.60,4.73
17.38,13.58
17.72,42.73
18.12,14.79
19.11,1.75
18.30,10.81
18.47,10.12
16.92,10.31
16.17,12.40
17.50,1.04
16.44,0.00
16.03,0.00
15.69,0.00
16.21,0.00
16.35,6.96
18.41,9.51
18.04,17.83
19.73,9.32
19.87,6.94
23.40,0.54
26.88,23.66
29.86,2.81
26.53,0.00
32.51,37.77
27.68,17.11
29.01,1.15
27.53,11.29
36.24,1.03
34.19,0.00
26.89,0.00
25.81,0.00
29.52,30.26
18.79,14.67
19.38,2.12
19.44,0.00
18.35,0.00
18.51,0.00
19.48,0.00
27.32,13.32
37.68,59.61
42.74,43.13
37.84,27.13
46.92,126.61
36.35,12.23
40.18,0.00
56.00,0.00
66.99,0.00
34.82,0.00
27.59,0.00
47.56,0.00
43.86,6.83
37.60,133.32
30.48,12.03
34.74,6.23
35.73,108.18
44.45,31.70
22.01,14.53
20.02,2.11
25.04,0.00
26.96,3.81
23.75,1.27
28.39,13.58
49.23,10.24
41.12,14.91
43.36,29.25
33.26,34.56
36.54,34.88
23.54,13.70
23.57,7.14
22.30,10.85
22.96,11.84
23.04,11.61
28.73,13.08
32.88,1.10
30.08,9.87
31.88,1.97
31.54,0.00
27.02,0.00
27.70,0.00
21.68,9.27
20.47,11.65
20.43,1.89
18.97,0.00
19.88,0.00
20.49,0.00
21.38,0.00
24.44,22.29
41.72,15.02
21.66,15.90
17.82,12.63
17.03,11.84
16.92,1.97
16.81,2.50
16.35,0.00
16.45,0.00
16.27,0.00
17.55,0.00
23.64,0.00
26.72,10.74
30.45,0.98
26.26,0.00
19.86,0.00
20.48,1.67
18.57,18.40
18.73,14.00
17.80,1.77
17.84,0.00
17.40,0.00
17.19,0.00
17.15,0.00
16.86,0.00
16.70,5.65
17.02,7.41
18.81,11.23
22.35,1.85
23.24,0.00
20.45,1.67
21.15,0.00
20.89,0.00
23.13,0.00
28.15,0.00
26.64,0.00
26.21,0.00
22.50,0.00
25.20,0.00
22.26,0.00
25.52,0.00
18.98,11.26
18.59,17.85
19.60,13.09
19.14,12.01
18.32,0.00
17.51,0.00
17.51,0.00
17.51,5.98
16.95,7.10
16.54,10.53
15.72,0.90
16.52,54.93
16.49,9.37
17.95,0.44
18.06,13.27
17.05,1.21
16.84,3.37
19.79,13.95
28.30,13.08
21.10,74.75
22.89,13.41
22.28,0.00
33.56,24.50
28.05,34.05
15.94,10.12
16.69,0.68
18.27,0.00
17.87,0.00
17.69,0.00
16.69,0.00
24.57,8.00
39.96,22.43
29.01,27.76
23.21,12.04
20.14,8.28
19.39,0.83
18.30,9.78
17.36,0.81
16.72,0.00
-3.09,0.00
4.78,0.00
13.21,0.00
17.60,6.94
19.44,7.90
19.66,11.73
21.94,12.30
23.63,32.43
18.52,17.99
16.94,17.20
17.96,13.03
17.58,8.63
17.52,7.16
17.19,4.28
18.84,11.73
22.61,15.01
31.36,14.88
20.29,51.08
24.41,21.62
16.16,16.73
15.28,7.85
15.04,7.30
9.86,8.19
1.35,27.32
-1.05,36.62
-8.61,68.94
8.07,28.50
14.79,17.58
24.05,17.01
28.70,1.33
21.00,0.00
18.98,11.88
17.73,11.33
16.43,11.90
15.96,9.60
15.42,72.58
15.82,13.07
15.87,0.00
15.79,0.00
22.18,10.76
23.85,10.30
30.10,33.56
22.46,13.69
15.61,8.38
15.64,1.49
15.09,3.11
14.33,0.79
13.96,0.01
4.52,0.00
11.77,0.00
12.64,0.00
15.01,46.93
20.84,4.27
